group,notes,start,end,notes
Popes,Pope Martin V,1417,1431
Popes,Pope Eugene IV,1431–1447
Popes,Pope Nicholas V,1447–1455
Popes,Pope Callixtus III,1455–1458
Popes,Pope Pius II,1458–1464
Popes,Pope Paul II,1464–1471
Popes,Pope Sixtus IV,1471–1484
Popes,Pope Innocent VIII,1484–1492
Popes,Pope Alexander VI,1492–1503
Popes,Pope Pius III,1503
Popes,Pope Julius II,1503–1513
Popes,Pope Leo X,1513–1521
Popes,Pope Adrian VI,1522–1523
Popes,Pope Clement VII,1523–1534
Popes,Pope Paul III,1534–1549
Popes,Pope Julius III,1550–1555
Popes,Pope Marcellus II,1555
Popes,Pope Paul IV,1555–1559
